Stn_No,time,Lat,Long,Precip
50647,1996,4807,12329,3393
50647,1997,4807,12329,2591
50647,1998,4807,12329,8081
50647,1999,4807,12329,1970
50647,2000,4807,12329,2666
50647,2001,4807,12329,2869
50647,2002,4807,12329,3648
50647,2003,4808,12329,4151
50647,2004,4808,12329,1463
50647,2005,4808,12329,3425
50647,2006,4808,12329,2433
50647,2007,4808,12329,2349
50647,2008,4808,12329,2612
50647,2009,4808,12329,4161
50647,2010,4808,12329,3020
50647,2011,4808,12329,3574
50647,2012,4808,12329,3333
50647,2013,4808,12329,4635
50647,2014,4808,12329,5218
50647,2015,4808,12329,2822
50647,2016,4808,12329,1666
50655,1994,4830,12611,3472
50655,1995,4830,12611,2035
50655,1996,4830,12611,3533
50655,1997,4830,12611,3957
50655,1998,4830,12611,4893
50655,1999,4830,12611,3917
50655,2000,4830,12611,2762
50655,2001,4830,12611,2234
50655,2002,4830,12611,2838
50655,2003,4830,12611,5048
50655,2004,4830,12611,1743
50655,2005,4830,12611,3155
50655,2006,4830,12611,3727
50655,2007,4830,12611,1868
50655,2008,4830,12611,1791
50655,2009,4830,12611,4729
50655,2010,4830,12611,2516
50655,2011,4830,12611,2698
50655,2012,4830,12611,4650
50655,2013,4830,12611,4161
50655,2014,4830,12611,5192
50655,2015,4830,12611,2880
50655,2016,4830,12611,2046
50656,1994,4817,12631,3405
50656,1995,4817,12631,2836
50656,1996,4817,12631,3000
50656,1997,4817,12631,3851
50656,1998,4817,12631,4192
50656,1999,4817,12631,4084
50656,2000,4817,12631,1932
50656,2001,4817,12631,2741
50656,2002,4817,12631,2947
50656,2003,4817,12631,5887
50656,2004,4817,12631,2202
50656,2005,4817,12631,3433
50656,2006,4817,12631,4627
50656,2007,4817,12631,1775
50656,2008,4817,12631,2193
50656,2009,4817,12631,6223
50656,2010,4817,12631,3356
50656,2011,4817,12631,3590
50656,2012,4815,12630,4265
50656,2013,4815,12630,5300
50656,2014,4815,12630,4385
50656,2015,4815,12630,2487
50656,2016,4815,12630,1551
50658,1994,4803,12553,3305
50658,1995,4803,12553,1577
50658,1996,4803,12553,4812
50658,1997,4803,12553,4498
50658,1998,4803,12553,6966
50658,1999,4803,12553,3721
50658,2000,4803,12553,2284
50658,2001,4803,12553,2736
50658,2002,4803,12553,3193
50658,2003,4803,12553,6348
50658,2004,4803,12553,2522
50658,2005,4803,12553,2657
50658,2006,4803,12553,4070
50658,2007,4803,12553,1705
50658,2008,4803,12553,1733
50658,2009,4803,12553,5445
